Servant,Rarity,Class,S2,S3,S4,S5,S6,S7,S8,S9,S10,A2,A3,A4,A5,A6,A7,A8,A9,A10
杀生院祈荒(MoonCancer),5,MoonCancer,"{'骑之辉石': 5, '杀之辉石': 5, 'QP': 200000}","{'骑之辉石': 12, '杀之辉石': 12, 'QP': 400000}","{'骑之魔石': 5, '杀之魔石': 5, 'QP': 1200000}","{'骑之魔石': 12, '杀之魔石': 12, 'QP': 1600000}","{'骑之秘石': 5, '杀之秘石': 5, 'QP': 4000000}","{'骑之秘石': 12, '杀之秘石': 12, 'QP': 5000000}","{'追忆的贝壳': 8, '血之泪石': 5, 'QP': 10000000}","{'九十九镜': 9, '悠久果实': 12, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'骑之辉石': 5, '杀之辉石': 5, 'QP': 200000}","{'骑之辉石': 12, '杀之辉石': 12, 'QP': 400000}","{'骑之魔石': 5, '杀之魔石': 5, 'QP': 1200000}","{'骑之魔石': 12, '杀之魔石': 12, 'QP': 1600000}","{'骑之秘石': 5, '杀之秘石': 5, 'QP': 4000000}","{'骑之秘石': 12, '杀之秘石': 12, 'QP': 5000000}","{'禁断书页': 8, '梦幻的鳞粉': 8, 'QP': 10000000}","{'奇奇神酒': 9, '晓光炉心': 12, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
伊莉雅丝菲尔·冯·爱因兹贝伦(Archer),4,Archer,"{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '追忆的贝壳': 4, 'QP': 800000}","{'弓之秘石': 4, '追忆的贝壳': 8, 'QP': 2000000}","{'弓之秘石': 10, '混沌之爪': 3, 'QP': 2500000}","{'混沌之爪': 5, '魔术髓液': 15, 'QP': 5000000}","{'魔术髓液': 45, '神脉灵子': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '凤凰羽毛': 4, 'QP': 800000}","{'弓之秘石': 4, '凤凰羽毛': 7, 'QP': 2000000}","{'弓之秘石': 10, '人工生命体幼体': 4, 'QP': 2500000}","{'人工生命体幼体': 8, '永远结冰': 5, 'QP': 5000000}","{'永远结冰': 15, '真理之卵': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
布伦希尔德(Berserker),4,Berserker,"{'狂之辉石': 4, 'QP': 100000}","{'狂之辉石': 10, 'QP': 200000}","{'狂之魔石': 4, 'QP': 600000}","{'狂之魔石': 10, '鬼魂提灯': 4, 'QP': 800000}","{'狂之秘石': 4, '鬼魂提灯': 8, 'QP': 2000000}","{'狂之秘石': 10, '追忆的贝壳': 4, 'QP': 2500000}","{'追忆的贝壳': 8, '极光之钢': 5, 'QP': 5000000}","{'极光之钢': 15, '光银之冠': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'狂之辉石': 4, 'QP': 100000}","{'狂之辉石': 10, 'QP': 200000}","{'狂之魔石': 4, 'QP': 600000}","{'狂之魔石': 10, '混沌之爪': 3, 'QP': 800000}","{'狂之秘石': 4, '混沌之爪': 5, 'QP': 2000000}","{'狂之秘石': 10, '蛮神心脏': 2, 'QP': 2500000}","{'蛮神心脏': 4, '魔术髓液': 15, 'QP': 5000000}","{'魔术髓液': 45, '巨人的戒指': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
虞美人(Lancer),4,Lancer,"{'枪之辉石': 4, 'QP': 100000}","{'枪之辉石': 10, 'QP': 200000}","{'枪之魔石': 4, 'QP': 600000}","{'枪之魔石': 10, '追忆的贝壳': 4, 'QP': 800000}","{'枪之秘石': 4, '追忆的贝壳': 8, 'QP': 2000000}","{'枪之秘石': 10, '战马的幼角': 3, 'QP': 2500000}","{'战马的幼角': 5, '闲古铃': 5, 'QP': 5000000}","{'闲古铃': 15, '悠久果实': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'枪之辉石': 4, 'QP': 100000}","{'枪之辉石': 10, 'QP': 200000}","{'枪之魔石': 4, 'QP': 600000}","{'枪之魔石': 10, '万死的毒针': 10, 'QP': 800000}","{'枪之秘石': 4, '万死的毒针': 20, 'QP': 2000000}","{'枪之秘石': 10, '封魔之灯': 3, 'QP': 2500000}","{'封魔之灯': 5, '永远结冰': 5, 'QP': 5000000}","{'永远结冰': 15, '枯淡勾玉': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
阿比盖尔·威廉姆斯〔夏〕,5,Foreigner,"{'凶骨': 10, 'QP': 200000}","{'虚影之尘': 10, 'QP': 400000}","{'愚者之锁': 12, 'QP': 1200000}","{'追忆的贝壳': 12, 'QP': 1600000}","{'永远结冰': 12, 'QP': 4000000}","{'巨人的戒指': 15, 'QP': 5000000}","{'真理之卵': 15, 'QP': 10000000}","{'煌星碎片': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'世界树之种': 10, 'QP': 200000}","{'陨蹄铁': 10, 'QP': 400000}","{'战马的幼角': 12, 'QP': 1200000}","{'起源的胎毛': 12, 'QP': 1600000}","{'极光之钢': 12, 'QP': 4000000}","{'光银之冠': 15, 'QP': 5000000}","{'虹之线球': 15, 'QP': 10000000}","{'九十九镜': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
巴御前(Saber),4,Saber,"{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '无间齿轮': 4, 'QP': 800000}","{'剑之秘石': 4, '无间齿轮': 8, 'QP': 2000000}","{'剑之秘石': 10, '英雄之证': 12, 'QP': 2500000}","{'英雄之证': 24, '枯淡勾玉': 5, 'QP': 5000000}","{'枯淡勾玉': 15, '晓光炉心': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '八连双晶': 4, 'QP': 800000}","{'剑之秘石': 4, '八连双晶': 8, 'QP': 2000000}","{'剑之秘石': 10, '追忆的贝壳': 4, 'QP': 2500000}","{'追忆的贝壳': 8, '永远结冰': 5, 'QP': 5000000}","{'永远结冰': 15, '鬼炎鬼灯': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
紫式部(Rider),4,Rider,"{'骑之辉石': 4, 'QP': 100000}","{'骑之辉石': 10, 'QP': 200000}","{'骑之魔石': 4, 'QP': 600000}","{'骑之魔石': 10, '万死的毒针': 10, 'QP': 800000}","{'骑之秘石': 4, '万死的毒针': 20, 'QP': 2000000}","{'骑之秘石': 10, '凶骨': 12, 'QP': 2500000}","{'凶骨': 24, '祸罪之箭头': 5, 'QP': 5000000}","{'祸罪之箭头': 15, '九十九镜': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'骑之辉石': 4, 'QP': 100000}","{'骑之辉石': 10, 'QP': 200000}","{'骑之魔石': 4, 'QP': 600000}","{'骑之魔石': 10, '追忆的贝壳': 4, 'QP': 800000}","{'骑之秘石': 4, '追忆的贝壳': 8, 'QP': 2000000}","{'骑之秘石': 10, '禁断书页': 4, 'QP': 2500000}","{'禁断书页': 8, '宵泣之铁桩': 15, 'QP': 5000000}","{'宵泣之铁桩': 45, '永远结冰': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
卑弥呼,5,Ruler,"{'弓之辉石': 5, '骑之辉石': 5, '术之辉石': 5, 'QP': 200000}","{'剑之辉石': 5, '枪之辉石': 5, '杀之辉石': 5, '狂之辉石': 5, 'QP': 400000}","{'弓之魔石': 5, '骑之魔石': 5, '术之魔石': 5, 'QP': 1200000}","{'剑之魔石': 5, '枪之魔石': 5, '杀之魔石': 5, '狂之魔石': 5, 'QP': 1600000}","{'弓之秘石': 5, '骑之秘石': 5, '术之秘石': 5, 'QP': 4000000}","{'剑之秘石': 5, '枪之秘石': 5, '杀之秘石': 5, '狂之秘石': 5, 'QP': 5000000}","{'枯淡勾玉': 12, 'QP': 10000000}","{'九十九镜': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'弓之辉石': 5, '骑之辉石': 5, '术之辉石': 5, 'QP': 200000}","{'剑之辉石': 5, '枪之辉石': 5, '杀之辉石': 5, '狂之辉石': 5, 'QP': 400000}","{'弓之魔石': 5, '骑之魔石': 5, '术之魔石': 5, 'QP': 1200000}","{'剑之魔石': 5, '枪之魔石': 5, '杀之魔石': 5, '狂之魔石': 5, 'QP': 1600000}","{'弓之秘石': 5, '骑之秘石': 5, '术之秘石': 5, 'QP': 4000000}","{'剑之秘石': 5, '枪之秘石': 5, '杀之秘石': 5, '狂之秘石': 5, 'QP': 5000000}","{'晓光炉心': 8, 'QP': 10000000}","{'鬼炎鬼灯': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
斋藤一,4,Saber,"{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '凶骨': 12, 'QP': 800000}","{'剑之秘石': 4, '凶骨': 24, 'QP': 2000000}","{'剑之秘石': 10, '英雄之证': 12, 'QP': 2500000}","{'英雄之证': 24, '宵泣之铁桩': 15, 'QP': 5000000}","{'宵泣之铁桩': 45, '闲古铃': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '八连双晶': 4, 'QP': 800000}","{'剑之秘石': 4, '八连双晶': 8, 'QP': 2000000}","{'剑之秘石': 10, '无间齿轮': 4, 'QP': 2500000}","{'无间齿轮': 8, '魔术髓液': 15, 'QP': 5000000}","{'魔术髓液': 45, '奇奇神酒': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
织田信胜,1,Archer,"{'弓之辉石': 2, 'QP': 10000}","{'弓之辉石': 4, 'QP': 20000}","{'弓之魔石': 2, 'QP': 60000}","{'弓之魔石': 4, '八连双晶': 2, 'QP': 80000}","{'弓之秘石': 2, '八连双晶': 4, 'QP': 200000}","{'弓之秘石': 4, '虚影之尘': 4, 'QP': 250000}","{'虚影之尘': 7, '振荡火药': 6, 'QP': 500000}","{'振荡火药': 18, '祸罪之箭头': 8, 'QP': 600000}","{'传承结晶': 1, 'QP': 1000000}","{'弓之辉石': 2, 'QP': 10000}","{'弓之辉石': 4, 'QP': 20000}","{'弓之魔石': 2, 'QP': 60000}","{'弓之魔石': 4, '愚者之锁': 5, 'QP': 80000}","{'弓之秘石': 2, '愚者之锁': 10, 'QP': 200000}","{'弓之秘石': 4, '万死的毒针': 4, 'QP': 250000}","{'万死的毒针': 8, '枯淡勾玉': 2, 'QP': 500000}","{'枯淡勾玉': 6, '晓光炉心': 5, 'QP': 600000}","{'传承结晶': 1, 'QP': 1000000}"
梵高,5,Foreigner,"{'虚影之尘': 10, 'QP': 200000}","{'世界树之种': 10, 'QP': 400000}","{'禁断书页': 12, 'QP': 1200000}","{'人工生命体幼体': 12, 'QP': 1600000}","{'极光之钢': 12, 'QP': 4000000}","{'精灵根': 15, 'QP': 5000000}","{'悠久果实': 15, 'QP': 10000000}","{'煌星碎片': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'愚者之锁': 10, 'QP': 200000}","{'黑兽脂': 10, 'QP': 400000}","{'万死的毒针': 12, 'QP': 1200000}","{'起源的胎毛': 12, 'QP': 1600000}","{'宵泣之铁桩': 12, 'QP': 4000000}","{'振荡火药': 15, 'QP': 5000000}","{'祸罪之箭头': 15, 'QP': 10000000}","{'真理之卵': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
尼莫,5,Rider,"{'骑之辉石': 5, 'QP': 200000}","{'骑之辉石': 12, 'QP': 400000}","{'骑之魔石': 5, 'QP': 1200000}","{'骑之魔石': 12, '追忆的贝壳': 5, 'QP': 1600000}","{'骑之秘石': 5, '追忆的贝壳': 10, 'QP': 4000000}","{'骑之秘石': 12, '无间齿轮': 5, 'QP': 5000000}","{'无间齿轮': 10, '晓光炉心': 4, 'QP': 10000000}","{'晓光炉心': 11, '神脉灵子': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'骑之辉石': 5, 'QP': 200000}","{'骑之辉石': 12, 'QP': 400000}","{'骑之魔石': 5, 'QP': 1200000}","{'骑之魔石': 12, '蛇之宝玉': 4, 'QP': 1600000}","{'骑之秘石': 5, '蛇之宝玉': 8, 'QP': 4000000}","{'骑之秘石': 12, '陨蹄铁': 5, 'QP': 5000000}","{'陨蹄铁': 10, '极光之钢': 6, 'QP': 10000000}","{'极光之钢': 18, '永远结冰': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
芦屋道满,5,Alterego,"{'术之辉石': 5, '杀之辉石': 5, 'QP': 200000}","{'术之辉石': 12, '杀之辉石': 12, 'QP': 400000}","{'术之魔石': 5, '杀之魔石': 5, 'QP': 1200000}","{'术之魔石': 12, '杀之魔石': 12, 'QP': 1600000}","{'术之秘石': 5, '杀之秘石': 5, 'QP': 4000000}","{'术之秘石': 12, '杀之秘石': 12, 'QP': 5000000}","{'虹之线球': 5, '煌星碎片': 5, 'QP': 10000000}","{'蛮神心脏': 9, '鬼炎鬼灯': 9, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'术之辉石': 5, '杀之辉石': 5, 'QP': 200000}","{'术之辉石': 12, '杀之辉石': 12, 'QP': 400000}","{'术之魔石': 5, '杀之魔石': 5, 'QP': 1200000}","{'术之魔石': 12, '杀之魔石': 12, 'QP': 1600000}","{'术之秘石': 5, '杀之秘石': 5, 'QP': 4000000}","{'术之秘石': 12, '杀之秘石': 12, 'QP': 5000000}","{'枯淡勾玉': 8, '祸罪之箭头': 8, 'QP': 10000000}","{'奇奇神酒': 9, '九十九镜': 9, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
渡边纲,4,Saber,"{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '枯淡勾玉': 4, 'QP': 800000}","{'剑之秘石': 4, '枯淡勾玉': 8, 'QP': 2000000}","{'剑之秘石': 10, '英雄之证': 12, 'QP': 2500000}","{'英雄之证': 24, '闲古铃': 5, 'QP': 5000000}","{'闲古铃': 15, '虹之线球': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '凶骨': 12, 'QP': 800000}","{'剑之秘石': 4, '凶骨': 24, 'QP': 2000000}","{'剑之秘石': 10, '凤凰羽毛': 4, 'QP': 2500000}","{'凤凰羽毛': 7, '九十九镜': 2, 'QP': 5000000}","{'九十九镜': 6, '鬼炎鬼灯': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
伊吹童子,5,Saber,"{'剑之辉石': 5, 'QP': 200000}","{'剑之辉石': 12, 'QP': 400000}","{'剑之魔石': 5, 'QP': 1200000}","{'剑之魔石': 12, '凶骨': 15, 'QP': 1600000}","{'剑之秘石': 5, '凶骨': 29, 'QP': 4000000}","{'剑之秘石': 12, '蛇之宝玉': 4, 'QP': 5000000}","{'蛇之宝玉': 8, '龙之逆鳞': 3, 'QP': 10000000}","{'龙之逆鳞': 8, '鬼炎鬼灯': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'剑之辉石': 5, 'QP': 200000}","{'剑之辉石': 12, 'QP': 400000}","{'剑之魔石': 5, 'QP': 1200000}","{'剑之魔石': 12, '龙之牙': 12, 'QP': 1600000}","{'剑之秘石': 5, '龙之牙': 24, 'QP': 4000000}","{'剑之秘石': 12, '万死的毒针': 12, 'QP': 5000000}","{'万死的毒针': 24, '奇奇神酒': 3, 'QP': 10000000}","{'奇奇神酒': 8, '九十九镜': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
弗栗多,5,Lancer,"{'枪之辉石': 5, 'QP': 200000}","{'枪之辉石': 12, 'QP': 400000}","{'枪之魔石': 5, 'QP': 1200000}","{'枪之魔石': 12, '蛇之宝玉': 4, 'QP': 1600000}","{'枪之秘石': 5, '蛇之宝玉': 8, 'QP': 4000000}","{'枪之秘石': 12, '龙之牙': 12, 'QP': 5000000}","{'龙之牙': 24, '永远结冰': 6, 'QP': 10000000}","{'永远结冰': 18, '巨人的戒指': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'枪之辉石': 5, 'QP': 200000}","{'枪之辉石': 12, 'QP': 400000}","{'枪之魔石': 5, 'QP': 1200000}","{'枪之魔石': 12, '战马的幼角': 3, 'QP': 1600000}","{'枪之秘石': 5, '战马的幼角': 6, 'QP': 4000000}","{'枪之秘石': 12, '龙之逆鳞': 2, 'QP': 5000000}","{'龙之逆鳞': 4, '奇奇神酒': 3, 'QP': 10000000}","{'奇奇神酒': 8, '真理之卵': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
迦尔纳〔圣诞〕,4,Saber,"{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '虚影之尘': 8, 'QP': 800000}","{'剑之秘石': 4, '虚影之尘': 16, 'QP': 2000000}","{'剑之秘石': 10, '愚者之锁': 12, 'QP': 2500000}","{'愚者之锁': 24, '光银之冠': 5, 'QP': 5000000}","{'光银之冠': 15, '神脉灵子': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'剑之辉石': 4, 'QP': 100000}","{'剑之辉石': 10, 'QP': 200000}","{'剑之魔石': 4, 'QP': 600000}","{'剑之魔石': 10, '世界树之种': 5, 'QP': 800000}","{'剑之秘石': 4, '世界树之种': 10, 'QP': 2000000}","{'剑之秘石': 10, '凤凰羽毛': 4, 'QP': 2500000}","{'凤凰羽毛': 7, '永远结冰': 5, 'QP': 5000000}","{'永远结冰': 15, '晓光炉心': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
千子村正,5,Saber,"{'剑之辉石': 5, 'QP': 200000}","{'剑之辉石': 12, 'QP': 400000}","{'剑之魔石': 5, 'QP': 1200000}","{'剑之魔石': 12, '鬼魂提灯': 5, 'QP': 1600000}","{'剑之秘石': 5, '鬼魂提灯': 10, 'QP': 4000000}","{'剑之秘石': 12, '八连双晶': 5, 'QP': 5000000}","{'八连双晶': 10, '枯淡勾玉': 6, 'QP': 10000000}","{'枯淡勾玉': 18, '鬼炎鬼灯': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'剑之辉石': 5, 'QP': 200000}","{'剑之辉石': 12, 'QP': 400000}","{'剑之魔石': 5, 'QP': 1200000}","{'剑之魔石': 12, '陨蹄铁': 5, 'QP': 1600000}","{'剑之秘石': 5, '陨蹄铁': 10, 'QP': 4000000}","{'剑之秘石': 12, '鬼魂提灯': 5, 'QP': 5000000}","{'鬼魂提灯': 10, '极光之钢': 6, 'QP': 10000000}","{'极光之钢': 18, '煌星碎片': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
平景清,5,Avenger,"{'凶骨': 10, 'QP': 200000}","{'愚者之锁': 10, 'QP': 400000}","{'鬼魂提灯': 12, 'QP': 1200000}","{'宵泣之铁桩': 12, 'QP': 1600000}","{'祸罪之箭头': 12, 'QP': 4000000}","{'血之泪石': 15, 'QP': 5000000}","{'咒兽胆石': 15, 'QP': 10000000}","{'九十九镜': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'英雄之证': 10, 'QP': 200000}","{'封魔之灯': 10, 'QP': 400000}","{'起源的胎毛': 12, 'QP': 1200000}","{'黑兽脂': 12, 'QP': 1600000}","{'枯淡勾玉': 12, 'QP': 4000000}","{'魔术髓液': 15, 'QP': 5000000}","{'鬼炎鬼灯': 15, 'QP': 10000000}","{'梦幻的鳞粉': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
鬼一法眼,4,Assassin,"{'杀之辉石': 4, 'QP': 100000}","{'杀之辉石': 10, 'QP': 200000}","{'杀之魔石': 4, 'QP': 600000}","{'杀之魔石': 10, '世界树之种': 5, 'QP': 800000}","{'杀之秘石': 4, '世界树之种': 10, 'QP': 2000000}","{'杀之秘石': 10, '禁断书页': 4, 'QP': 2500000}","{'禁断书页': 8, '闲古铃': 5, 'QP': 5000000}","{'闲古铃': 15, '奇奇神酒': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'杀之辉石': 4, 'QP': 100000}","{'杀之辉石': 10, 'QP': 200000}","{'杀之魔石': 4, 'QP': 600000}","{'杀之魔石': 10, '八连双晶': 4, 'QP': 800000}","{'杀之秘石': 4, '八连双晶': 8, 'QP': 2000000}","{'杀之秘石': 10, '精灵根': 2, 'QP': 2500000}","{'精灵根': 4, '九十九镜': 2, 'QP': 5000000}","{'九十九镜': 6, '枯淡勾玉': 20, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
阿摩耳〔卡莲〕,5,Ruler,"{'弓之辉石': 5, '术之辉石': 5, '狂之辉石': 5, 'QP': 200000}","{'剑之辉石': 5, '枪之辉石': 5, '骑之辉石': 5, '杀之辉石': 5, 'QP': 400000}","{'弓之魔石': 5, '术之魔石': 5, '狂之魔石': 5, 'QP': 1200000}","{'剑之魔石': 5, '枪之魔石': 5, '骑之魔石': 5, '杀之魔石': 5, 'QP': 1600000}","{'弓之秘石': 5, '术之秘石': 5, '狂之秘石': 5, 'QP': 4000000}","{'剑之秘石': 5, '枪之秘石': 5, '骑之秘石': 5, '杀之秘石': 5, 'QP': 5000000}","{'祸罪之箭头': 12, 'QP': 10000000}","{'虹之线球': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'弓之辉石': 5, '术之辉石': 5, '狂之辉石': 5, 'QP': 200000}","{'剑之辉石': 5, '枪之辉石': 5, '骑之辉石': 5, '杀之辉石': 5, 'QP': 400000}","{'弓之魔石': 5, '术之魔石': 5, '狂之魔石': 5, 'QP': 1200000}","{'剑之魔石': 5, '枪之魔石': 5, '骑之魔石': 5, '杀之魔石': 5, 'QP': 1600000}","{'弓之秘石': 5, '术之秘石': 5, '狂之秘石': 5, 'QP': 4000000}","{'剑之秘石': 5, '枪之秘石': 5, '骑之秘石': 5, '杀之秘石': 5, 'QP': 5000000}","{'悠久果实': 8, 'QP': 10000000}","{'真理之卵': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
伽拉忒亚,5,Berserker,"{'狂之辉石': 5, 'QP': 200000}","{'狂之辉石': 12, 'QP': 400000}","{'狂之魔石': 5, 'QP': 1200000}","{'狂之魔石': 12, '极光之钢': 5, 'QP': 1600000}","{'狂之秘石': 5, '极光之钢': 10, 'QP': 4000000}","{'狂之秘石': 12, '魔术髓液': 15, 'QP': 5000000}","{'魔术髓液': 29, '光银之冠': 6, 'QP': 10000000}","{'光银之冠': 18, '悠久果实': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'狂之辉石': 5, 'QP': 200000}","{'狂之辉石': 12, 'QP': 400000}","{'狂之魔石': 5, 'QP': 1200000}","{'狂之魔石': 12, '虚影之尘': 10, 'QP': 1600000}","{'狂之秘石': 5, '虚影之尘': 20, 'QP': 4000000}","{'狂之秘石': 12, '八连双晶': 5, 'QP': 5000000}","{'八连双晶': 10, '巨人的戒指': 6, 'QP': 10000000}","{'巨人的戒指': 18, '晓光炉心': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
克莱恩小姐,5,Caster,"{'术之辉石': 5, 'QP': 200000}","{'术之辉石': 12, 'QP': 400000}","{'术之魔石': 5, 'QP': 1200000}","{'术之魔石': 12, '封魔之灯': 3, 'QP': 1600000}","{'术之秘石': 5, '封魔之灯': 6, 'QP': 4000000}","{'术之秘石': 12, '凤凰羽毛': 4, 'QP': 5000000}","{'凤凰羽毛': 8, '九十九镜': 3, 'QP': 10000000}","{'九十九镜': 8, '虹之线球': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'术之辉石': 5, 'QP': 200000}","{'术之辉石': 12, 'QP': 400000}","{'术之魔石': 5, 'QP': 1200000}","{'术之魔石': 12, '无间齿轮': 5, 'QP': 1600000}","{'术之秘石': 5, '无间齿轮': 10, 'QP': 4000000}","{'术之秘石': 12, '禁断书页': 5, 'QP': 5000000}","{'禁断书页': 10, '枯淡勾玉': 6, 'QP': 10000000}","{'枯淡勾玉': 18, '梦幻的鳞粉': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
谜之偶像X〔Alter〕,4,Foreigner,"{'龙之牙': 8, 'QP': 100000}","{'陨蹄铁': 8, 'QP': 200000}","{'无间齿轮': 10, 'QP': 600000}","{'战马的幼角': 10, 'QP': 800000}","{'极光之钢': 10, 'QP': 2000000}","{'神脉灵子': 12, 'QP': 2500000}","{'晓光炉心': 12, 'QP': 5000000}","{'煌星碎片': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'禁断书页': 8, 'QP': 100000}","{'凤凰羽毛': 8, 'QP': 200000}","{'封魔之灯': 10, 'QP': 600000}","{'起源的胎毛': 10, 'QP': 800000}","{'九十九镜': 10, 'QP': 2000000}","{'光银之冠': 12, 'QP': 2500000}","{'悠久果实': 12, 'QP': 5000000}","{'虹之线球': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
摩根,5,Berserker,"{'狂之辉石': 5, 'QP': 200000}","{'狂之辉石': 12, 'QP': 400000}","{'狂之魔石': 5, 'QP': 1200000}","{'狂之魔石': 12, '人工生命体幼体': 5, 'QP': 1600000}","{'狂之秘石': 5, '人工生命体幼体': 10, 'QP': 4000000}","{'狂之秘石': 12, '禁断书页': 5, 'QP': 5000000}","{'禁断书页': 10, '悠久果实': 4, 'QP': 10000000}","{'悠久果实': 11, '梦幻的鳞粉': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'狂之辉石': 5, 'QP': 200000}","{'狂之辉石': 12, 'QP': 400000}","{'狂之魔石': 5, 'QP': 1200000}","{'狂之魔石': 12, '智慧之圣甲虫像': 2, 'QP': 1600000}","{'狂之秘石': 5, '智慧之圣甲虫像': 4, 'QP': 4000000}","{'狂之秘石': 12, '精灵根': 2, 'QP': 5000000}","{'精灵根': 4, '真理之卵': 3, 'QP': 10000000}","{'真理之卵': 8, '光银之冠': 24, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
